"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Price / International","Compare At Price / International","Status"
"CF520","Color Factory: 288ml Premium Watercolor Paint Set 24x12ml Tubes","Create beautiful works of art with this Premium Watercolor Paint Set. Offering excellent pigmentation & consistency this set is the perfect addition to any artist's toolkit. Use Soap & Water to clean up.","Dollareh","colfact~paints~watercolor","colfact~paints","Imported","TRUE",,,,,,,,,"shopify",,"deny","manual",,,"TRUE","TRUE",,"https://multicraft.ca/pics/01/100603282593.jpg",,,,,,,,,,,,,,,,,,,,"g",,,,,"active"
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/100603282594.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/100603282595.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/100603282596.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF530A","Color Factory: 18 Half-Pan Watercolor Set Portable w/Water Brush A) Floral Palette","Create on the go! This Portable Watercolor set is great for packing up and creating vibrant, pigmented paintings while you travel. Easily mix and blend the watercolors with the help of the self dispensing water brush. Perfect for students, hobbyists, and professional artists!","Dollareh","colfact~paints~watercolor","colfact~paints","Imported","TRUE",,,,,,,,,"shopify",,"deny","manual",,,"TRUE","TRUE",,"https://multicraft.ca/pics/01/082907497114.jpg",,,,,,,,,,,,,,,,,,,,"g",,,,,"active"
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/082907497115.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/082907497116.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/082907497117.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF530B","Color Factory: 18 Half-Pan Watercolor Set Portable w/Water Brush B) Classic Palette","Create on the go! This Portable Watercolor set is great for packing up and creating vibrant, pigmented paintings while you travel. Easily mix and blend the watercolors with the help of the self dispensing water brush. Perfect for students, hobbyists, and professional artists!","Dollareh","colfact~paints~watercolor","colfact~paints","Imported","TRUE",,,,,,,,,"shopify",,"deny","manual",,,"TRUE","TRUE",,"https://multicraft.ca/pics/01/082908497121.jpg",,,,,,,,,,,,,,,,,,,,"g",,,,,"active"
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/082907497118.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
